trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2669,False,"{'a': 0.002, 'e': 0.004805472049856126}",25,9,26.37004924865594,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2670,False,"{'a': 0.002, 'e': 0.004795870710296421}",25,10,22.276025102404752,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2671,False,"{'a': 0.002, 'e': 0.004786288554225948}",20,8,21.38853543572073,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2672,False,"{'a': 0.002, 'e': 0.004776725543316077}",20,0,32.26205495812745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2673,False,"{'a': 0.002, 'e': 0.0047671816393147475}",20,14,10.205296223636774,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2674,False,"{'a': 0.002, 'e': 0.004757656804046333}",30,15,29.393259134274775,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2675,False,"{'a': 0.002, 'e': 0.004748150999411473}",25,13,21.75711878467252,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2676,False,"{'a': 0.002, 'e': 0.004738664187386946}",20,8,11.003188077592785,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2677,False,"{'a': 0.002, 'e': 0.004729196330025487}",25,18,14.980629746282865,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2678,False,"{'a': 0.002, 'e': 0.004719747389455653}",25,14,21.243607424682097,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2679,False,"{'a': 0.002, 'e': 0.004710317327881667}",25,8,30.722552925571794,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2680,False,"{'a': 0.002, 'e': 0.004700906107583276}",20,0,31.635974179032466,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2681,False,"{'a': 0.002, 'e': 0.004691513690915584}",25,5,28.038343097346388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2682,False,"{'a': 0.002, 'e': 0.00468214004030891}",25,14,22.6346231633459,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2683,False,"{'a': 0.002, 'e': 0.004672785118268637}",20,12,14.16449876549283,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2684,False,"{'a': 0.002, 'e': 0.004663448887375071}",25,9,24.349640843475164,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2685,False,"{'a': 0.002, 'e': 0.004654131310283272}",30,14,32.67297816324141,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2686,False,"{'a': 0.002, 'e': 0.0046448323497229205}",25,15,18.24268010863006,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2687,False,"{'a': 0.002, 'e': 0.004635551968498157}",20,4,26.884478251510753,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2688,False,"{'a': 0.002, 'e': 0.004626290129487451}",20,2,27.985410982100372,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2689,False,"{'a': 0.002, 'e': 0.004617046795643433}",20,16,7.640094710793372,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2690,False,"{'a': 0.002, 'e': 0.004607821929992752}",20,10,19.821937976559635,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2691,False,"{'a': 0.002, 'e': 0.004598615495635935}",30,22,16.43228042249772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2692,False,"{'a': 0.002, 'e': 0.004589427455747229}",30,13,31.837770611045755,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2693,False,"{'a': 0.002, 'e': 0.004580257773574469}",20,12,13.537863025968704,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2694,False,"{'a': 0.002, 'e': 0.00457110641243891}",25,2,34.671899547761754,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
